Date,Open,High,Low,Close,Volume
2025-04-09,15110,15200,15000,15150,19286
2025-04-10,15740,15880,15180,15790,24602
2025-04-11,15770,15770,15490,15700,23249
2025-04-14,15780,15940,15740,15800,9732
2025-04-15,15930,15940,15800,15890,5697
2025-04-16,15860,15890,15700,15720,10589
2025-04-17,15720,15850,15700,15780,14854
2025-04-18,15780,15890,15630,15860,13215
2025-04-21,15880,16000,15860,15950,10793
2025-04-22,15940,15950,15720,15850,10554
2025-04-23,15870,16070,15870,16050,14890
2025-04-24,16100,16220,16050,16130,28387
2025-04-25,16130,16240,16050,16140,14543
2025-04-28,16170,16250,16100,16240,10696
2025-04-29,16240,16300,16050,16280,35622
2025-04-30,16230,16300,16130,16230,17174
2025-05-02,16230,16340,16160,16210,11147
2025-05-07,16160,16330,16140,16320,10295
2025-05-08,16210,16420,16210,16390,15614
2025-05-09,16390,16390,16170,16260,13075
2025-05-12,16260,16430,16260,16370,23458
2025-05-13,16450,16530,16390,16420,16190
2025-05-14,16430,16580,16390,16550,21235
2025-05-15,16350,16350,15980,16000,70982
2025-05-16,16090,16090,15740,15800,48159
2025-05-19,15700,15790,15640,15700,15286
2025-05-20,15700,15950,15700,15870,23649
2025-05-21,15960,16050,15900,15900,52269
2025-05-22,15900,15910,15690,15800,31124
2025-05-23,15700,15850,15690,15740,19901
2025-05-26,15840,16190,15840,16110,37153
2025-05-27,16110,16190,16030,16150,27218
2025-05-28,16120,16410,16100,16350,51875
2025-05-29,16360,16420,16250,16360,25417
2025-05-30,16420,16420,16250,16270,25371
2025-06-02,16380,16380,16150,16280,18456
2025-06-04,16210,16540,16190,16540,52389
2025-06-05,16540,16990,16500,16780,55072
2025-06-09,16970,17250,16800,17070,58608
2025-06-10,17130,17260,17020,17100,38165
2025-06-11,17250,17290,17040,17280,39342
2025-06-12,17300,17690,17300,17510,70185
2025-06-13,17750,17850,17310,17680,100643
2025-06-16,17680,18110,17490,18020,90237
2025-06-17,18020,18100,17510,17660,69488
2025-06-18,17660,17850,17570,17670,30643
2025-06-19,17680,18190,17580,18090,49807
2025-06-20,18090,18090,17750,17850,37581
2025-06-23,17640,17790,17300,17410,38020
2025-06-24,17500,18000,17500,18000,32510
2025-06-25,18050,18420,18050,18370,66775
2025-06-26,18450,18460,17750,17910,38522
2025-06-27,18000,18160,17770,17890,25297
2025-06-30,17900,18060,17660,18000,32282
2025-07-01,18000,18220,18000,18060,31362
2025-07-02,18060,18440,17820,18150,81593
2025-07-03,18150,18430,18130,18390,43204
2025-07-04,18400,18800,18400,18620,114418
2025-07-07,18630,18630,18060,18150,44894
2025-07-08,18150,18280,17930,18130,50177
2025-07-09,18190,18530,18080,18470,35476
2025-07-10,18430,18820,18430,18680,82633
2025-07-11,18900,19370,18760,19250,149029
2025-07-14,19260,19310,18890,19050,65426
2025-07-15,19050,19300,18750,18850,36771
2025-07-16,19050,19090,18830,18840,40013
2025-07-17,19130,19400,19090,19240,95770
2025-07-18,19220,19220,18550,18750,53777
2025-07-21,19030,19390,18910,18920,68819
2025-07-22,18900,19030,18610,18810,50639
2025-07-23,18930,18990,18560,18640,26214
2025-07-24,18830,18830,18210,18340,50389
2025-07-25,18330,18430,18120,18340,56129
2025-07-28,18530,18820,18340,18720,63232
2025-07-29,18760,18770,18280,18540,34357
2025-07-30,18540,19010,18540,18900,72663
2025-07-31,18900,18960,18620,18620,45071
2025-08-01,18620,18690,18000,18140,66287
2025-08-04,18310,18840,18280,18410,52492
2025-08-05,18610,19140,18610,18780,88008
2025-08-06,18950,18980,18580,18820,24122
2025-08-07,18980,19260,18850,18850,57479
